...1,id,agency,allocation,title,brief_summary,status,PI,phase,study_type,primary_outcome_measure,acronym,start_date,completion_date,primary_completion_date,gender,minimum_age,maximum_age,number_of_arms,enrollment
10,NCT01313624,Gilead Sciences,Randomized,Safety and Effectiveness of AZLI (an Inhaled Antibiotic) in Adults With Non-Cystic Fibrosis Bronchiectasis,"
      The AIR-BX1 study enrolled people with non-cystic fibrosis (non-CF) bronchiectasis and
      gram-negative airway infection. Participants received two 28-day courses of either Aztreonam
      for Inhalation Solution (AZLI) or placebo taken 3 times a day. Each course was followed by a
      28-day off-drug period. Following the two blinded courses, all participants received a 28-day
      course of open-label AZLI then were followed for an additional 56 days.
",Completed,"Alan Barker, MD",Phase 3,Interventional,Change in QOL-B Respiratory Symptoms Score at Day 28,AIR-BX1,2011-04-01,2013-06-01,2013-03-01,All,18 Years,N/A,2,266
11,NCT01314716,Gilead Sciences,Randomized,Safety and Effectiveness of AZLI (an Inhaled Antibiotic) in Adults With Non-Cystic Fibrosis Bronchiectasis,"
      The AIR-BX2 study enrolled people with non-cystic fibrosis (non-CF) bronchiectasis and
      gram-negative airway infection. Participants received two 28-day courses of either Aztreonam
      for Inhalation Solution (AZLI) or placebo taken 3 times a day. Each course was followed by a
      28-day off-drug period. Following the two blinded courses, all participants received a 28-day
      course of open-label AZLI then were followed for an additional 56 days.
",Completed,"Anne O'Donnell, MD",Phase 3,Interventional,Change in QOL-B Respiratory Symptoms Score at Day 28,AIR-BX2,2011-04-01,2013-07-01,2013-04-01,All,18 Years,N/A,2,274
12,NCT01463371,Instituto de Investigacion Sanitaria La Fe,Randomized,Effects of Azithromycin on Airway Oxidative Stress Markers in Patients With Bronchiectasis,"
      The mechanism by which macrolide antibiotics have immune modifying effects independent from
      its antibacterial activity has not been well established. In the present work, the
      investigators will analyze the effect of long-term treatment with azithromycin (250 mg three
      times per week during three months) on airway oxidative stress markers in exhaled breath
      condensate of adult patients with stable non-CF bronchiectasis.
",Completed,"Alfredo De Diego Damia, MD",N/A,Interventional,"Changes in Nitric oxide,8-isoprostane, pH, nitrites (NO2) and nitrates(NO3) in exhaled breath condensate.",NA,2006-10-01,2007-09-01,2007-04-01,All,16 Years,80 Years,2,30
13,NCT01515007,Aradigm Corporation,Randomized,Phase 3 Study With Ciprofloxacin Dispersion for Inhalation in Non-CF Bronchiectasis (ORBIT-3),"
      This study (ARD-3150-1201, ORBIT-3) will evaluate the safety and efficacy of inhaled
      Pulmaquin (ciprofloxacin dispersion for inhalation) compared to inhaled placebo in subjects
      who have a confirmed diagnosis of non-cystic fibrosis (non-CF) bronchiectasis with a history
      of pulmonary exacerbations and chronic P. aeruginosa infections.
",Completed,NA,Phase 3,Interventional,Time to first exacerbation,NA,2014-03-31,2016-10-01,2016-08-17,All,18 Years,N/A,2,278
14,NCT01684683,The First Affiliated Hospital of Guangzhou Medical University,Randomized,The Effect of Theophylline in the Treatment of Bronchiectasis,"
      Theophylline was well recommended in the treatment of chronic obstructive pulmonary disease
      (COPD) and asthma. However, there is no supporting evidence for their efficacy in the
      treatment of bronchiectasis. Our hypothesis is that theophylline will play a role in
      bronchiectasis. Our purpose is to examine the efficacy and safety of 24 weeks treatment with
      theophylline in subjects with non-cystic fibrosis bronchiectasis.
",Completed,NA,Phase 4,Interventional,Scores of the St.George's Respiratory Questionnaire,NA,2012-11-01,2014-09-01,2014-04-01,All,18 Years,70 Years,2,100
15,NCT01764841,Bayer,Randomized,Ciprofloxacin Dry Powder for Inhalation in Non-cystic Fibrosis Bronchiectasis (Non-CF BE),"
      The purpose of this study is to evaluate if the time to first pulmonary exacerbation of
      bronchiectasis or its frequency can be prolonged by inhalation of ciprofloxacin for 28 days
      every other 28 days or for 14 days every other 14 days over 48 weeks.
",Completed,Bayer Study Director,Phase 3,Interventional,Time to First Exacerbation Event Within 48 Weeks,RESPIRE 1,2013-05-02,2016-03-09,2016-03-09,All,18 Years,N/A,4,416
16,NCT01792427,Universitaire Ziekenhuizen Leuven,NA,Mortality in Non-cystic Fibrosis Bronchiectasis,"
      In this study we analyzed the overall survival for all newly diagnosed patients with
      non-cystic fibrosis bronchiectasis from June 2006 onwards. The investigators wanted to
      confirm the known risk factors such as age, gender, smoking history and Pseudomonas
      aeruginosa and evaluate the impact on survival of etiology, number of different
      bacteriological species in retrospective and prospective sputa, azithromycin use and
      presence/development of pulmonary hypertension.
",Completed,"Pieter Goeminne, MD",NA,Observational,overall survival,NA,2006-06-01,2012-12-01,2012-10-01,All,18 Years,N/A,NA,253
17,NCT01792440,Universitaire Ziekenhuizen Leuven,NA,The Sputum Colour Chart as a Predictor of Lung Inflammation and Proteolysis in Non-cystic Fibrosis Bronchiectasis,"
      Non-cystic fibrosis bronchiectasis patients (and controls) were recruited for the study. The
      investigators' aim was to study the relevance of clinical parameters in terms of underlying
      disease severity, proteolysis and inflammation in a diverse non-cystic fibrosis
      bronchiectasis population.
",Completed,"Pieter Goeminne, MD",NA,Observational,Assess predictive value of sputum colour chart to evaluate airway inflammation,NA,2009-09-01,2012-12-01,2010-07-01,All,18 Years,N/A,NA,80
18,NCT01801657,The First Affiliated Hospital of Guangzhou Medical University,NA,The Role of Viral Infection in Acute Exacerbations of Non-cystic Fibrosis Bronchiectasis in Adults,"
      Bronchiectasis is clinically characterized by irreversible dilation of the bronchi and
      bronchioles leading to persistent cough, purulent sputum, and airway ﬂow limitation, which
      may be accompanied by recurrent exacerbations.It has been increasingly recognized that
      respiratory viruses are mainly responsible for acute exacerbation of chronic pulmonary
      diseases, i.e. asthma, chronic obstructive pulmonary disease and cystic fibrosis.
      However,little is known about the roles of viral infection in driving exacerbations of
      bronchiectasis.This study aims to identify the frequency of common viral infections and
      determine the roles that viruses play in acute exacerbations of bronchiectasis.
",Unknown status,NA,NA,Observational,The prevalence of respiratory virus infection in adults with bronchiectasis during a pulmonary exacerbation and when clinically stable.,NA,2013-02-01,2014-04-01,2014-04-01,All,18 Years,80 Years,NA,100
19,NCT01818544,Bayer,Randomized,Safety and Efficacy of Oral BAY85-8501 in Patients With Non-CF (Cystic Fibrosis) Bronchiectasis,"
      The primary objective of this study is to assess the safety and tolerability of 28 day oral
      administration of BAY85-8501 versus placebo in subjects with non-CF Bronchiectasis (BE).

      The secondary objectives are to examine the effect of BAY85-8501 on pulmonary function,
      biomarkers of inflammation and tissue damage, and the impact on overall health and perceived
      well-being and to evaluate the pharmacokinetics of BAY85-8501.
",Completed,Bayer Study Director,Phase 2,Interventional,NA,NA,2013-04-01,2014-06-01,2014-06-01,All,18 Years,N/A,2,94
20,NCT01854788,Hospital Clinic of Barcelona,Randomized,3 Airway Clearance Techniques in Non Cystic Fibrosis Bronchiectasis,"
      Study design: a randomized, crossover trial. Each patient performed three different airway
      clearance techniques (Autogenic drainage, slow expiratory with glottis opened in lateral
      posture [ELTGOL], temporary- positive expiratory pressure [T-PEP] with not similar autonomy
      degree in a randomized order. Each technique were applied in 3 sessions during one week at
      alternate days (Monday /Wednesday/Friday or Tuesday/Thursday/Saturday). The time spent in
      each bronchial session was 40 minutes. Seven days were the wash-out time period between the
      different techniques.
",Completed,NA,N/A,Interventional,NA,NA,2010-09-01,2012-08-01,2012-06-01,All,18 Years,N/A,3,31
21,NCT01906047,Universitaire Ziekenhuizen Leuven,NA,Impact of Chronic Air Pollution on Non-cystic Fibrosis Bronchiectasis,"
      We aim at investigation the impact of chronic air pollution exposure on non-cystic fibrosis
      bronchiectasis outcome.
",Completed,NA,NA,Observational [Patient Registry],Death,NA,2006-06-01,2013-04-01,2012-10-01,All,18 Years,65 Years,NA,189
22,NCT02035488,University Medical Center Groningen,N/A,Pharmacokinetic Evaluation and Tolerability of Dry Powder Tobramycin by a Novel Device in Patients With Non Cystic Fibrosis Bronchiectasis,"
      Bronchiectasis is a persistent and frequently progressive condition characterized by dilated
      and thick-walled bronchi retaining sputum. The main symptoms of bronchiectasis are cough and
      chronic sputum production. Until now, most patients with non-CF bronchiectasis receive
      inhaled tobramycin every other month, by use of a nebulizer. However, this delivery system
      has several disadvantages, like a low lung deposition and pollution with tobramycin in the
      surrounding environment. With an efficient dry powder inhaler (DPI), a three to six fold
      higher lung deposition compared to a nebulizer can be obtained. Therapy with a DPI is also
      less time consuming compared to nebulisation. We will investigate dry powder tobramycin (DP
      tobramycin) in a novel device in patients with non-CF bronchiectasis. The main objectives of
      this study are to investigate the pharmacokinetic properties of DP tobramycin at different
      dosages together with the local tolerability of DP tobramycin via the Cyclops® at different
      dosages.
",Completed,"Huib Kerstjens, MD, PhD",Phase 1/Phase 2,Interventional,NA,NA,2013-10-01,2014-12-01,2014-12-01,All,18 Years,N/A,1,8
23,NCT02081963,Qilu Hospital of Shandong University,Randomized,Combined Administration of Nebulized Amikacin in Patients With Acute Exacerbation of Non-Cystic Fibrosis Bronchiectasis,"
      This is a multi-centered, randomized, controlled study to assess the efficacy, indications
      and adverse reactions of combined administration of nebulized amikacin in patients with acute
      exacerbation of non-cystic fibrosis bronchiectasis and to evaluate whether inhaled
      antibiotics are more likely to cause bacterial resistance.
",Completed,"Yu Li, Professor",Phase 4,Interventional,Bacterial Clearance Rate of Sputum,NA,2014-03-01,2016-12-01,2016-03-01,All,18 Years,80 Years,2,178
24,NCT02088216,Qilu Hospital of Shandong University,Randomized,"Effect of Long-term, High-dose N-acetylcysteine on Exacerbations of Bronchiectaisis","
      Objective: To evaluate whether long-term oral N-acetylcysteine as an expectorant drug can
      reduce the frequency of acute exacerbations of patients with non-cystic fibrosis
      bronchiectasis and improve their quality of life.

      Methods: Patients with non-cystic fibrosis bronchiectasis will be randomly assigned to the
      observer group (participants receive 600 mg of oral N-acetylcysteine BID for 12 months) or
      the control group (participants receive oral tablet BID for 12 months). The primary endpoint
      was the frequency of acute exacerbations.

      Expected results: Compared with the control group, the frequency of acute exacerbations of
      the observer Group will decrease significantly.

      Hypothesis: Long-term oral N-acetylcysteine can reduce the frequency of acute exacerbations
      of patients with non-cystic fibrosis bronchiectasis and improve their quality of life.
",Completed,"Yu Li, Professor",N/A,Interventional,Median Number of Exacerbations,BENE,2014-04-01,2018-03-30,2017-12-01,All,18 Years,80 Years,2,161
25,NCT02096315,Polyphor Ltd.,N/A,"Safety, Efficacy and PK/PD of POL7080 in Patients With Exacerbation of Non-cystic Fibrosis Bronchiectasis.","
      To test whether POL7080 is effective in patients with exacerbation of non-cystic fibrosis
      bronchiectasis caused by Pseudomonas aeruginosa infection.
",Terminated,NA,Phase 2,Interventional,Sputum bacterial clearance,NA,2013-12-01,2015-11-01,2015-11-01,All,18 Years,79 Years,1,20
26,NCT02104245,Aradigm Corporation,Randomized,Phase 3 Study With Ciprofloxacin Dispersion for Inhalation in Non-CF Bronchiectasis (ORBIT-4),"
      This study (ARD-3150-1202, ORBIT-4) will evaluate the safety and efficacy of inhaled
      Pulmaquin (ciprofloxacin dispersion for inhalation) compared to inhaled placebo in subjects
      who have a confirmed diagnosis of non-cystic fibrosis (non-CF) bronchiectasis with a history
      of pulmonary exacerbations and chronic P. aeruginosa infections.
",Completed,NA,Phase 3,Interventional,Time to first pulmonary exacerbation (from baseline),NA,2014-05-28,2016-10-01,2016-08-11,All,18 Years,N/A,2,304
27,NCT02106832,Bayer,Randomized,Ciprofloxacin Dry Powder for Inhalation (DPI) in Non-cystic Fibrosis Bronchiectasis (Non-CF BE),"
      The purpose of this study is to evaluate if the time to first pulmonary exacerbation of
      bronchiectasis or its frequency can be prolonged by inhalation of ciprofloxacin for 28 days
      every other 28 days or for 14 days every other 14 days over 48 weeks.
",Completed,Bayer Study Director,Phase 3,Interventional,NA,RESPIRE 2,2014-04-30,2016-10-19,2016-09-13,All,18 Years,N/A,4,521
28,NCT02163642,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,NA,Role of Innate Immunity in Non-Cystic Fibrosis Bronchiectasis,"
      The purpose of this study is to demonstrate that 1) the secretion of mucins, antimicrobial
      peptides and Toll-like receptors is altered in certain patients with non-CF bronchiectasis,
      which makes them more susceptible to be infected by potentially pathogenic bacteria (PPB);
      and 2) the electronic nose is able to detect patterns of specific Volatile Organic Compounds
      (VOC) for patients with non-CF bronchiectasis colonized by PPB.
",Unknown status,"Oriol Sibila, MD PhD",NA,Observational,Change from baseline in sputum mucin levels at 12 months,NA,2014-04-01,2018-04-01,2018-04-01,All,18 Years,N/A,NA,50
29,NCT02324855,Universidad San Jorge,Randomized,Long-term Airway Clearance Therapy in Non-cystic Fibrosis Bronchiectasis,"
      The main aim is to analyze whether the routine use of chest physiotherapy in non cystic
      fibrosis bronchiectasis (NCFB) improves the cough severity and the quality of life in this
      population. In addition, the secondary end-points include incidences of exacerbations,
      changes in lung function, exercise capacity, airways inflammation, sputum analysis and
      eventual adverse events.
",Completed,"Beatriz Herrero, Msc",N/A,Interventional,Cough severity (Auto-administered questionnaire: Leicester Cough Questionnaire),NA,2015-10-01,2020-06-01,2020-06-01,All,18 Years,N/A,2,26
30,NCT02392663,Hospital Clinic of Barcelona,Randomized,Sputum Clearance Effects of Hypertonic Saline in Non-cystic Fibrosis Bronchiectasis,"
      This study aims to analyze whether the hypertonic saline nebulization enhances sputum
      clearance effects, reduces the impact on cough severity and their level of safety and
      tolerability in a population with non-cystic fibrosis bronchiectasis (NCFBE). In addition,
      this trial aims to compare these health outcomes among 3 nebulized solutions: hypertonic
      saline (7%); hyaluronic acid + hypertonic saline (7%); isotonic saline (0,9%).
",Completed,"Eva Polverino, Dr.",N/A,Interventional,Wet sputum production,NA,2015-03-01,2016-01-01,2015-12-01,All,18 Years,N/A,3,24
31,NCT02411981,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,N/A,Effects of Chest Physiotherapy (CPT) on Lung Clearance Index (LCI) in Non Cystic Fibrosis (CF) Bronchiectasis,"
      This study will investigate the effects of on technique of chest physiotherapy on pulmonary
      function. Effects of pulmonary function will be measured by the spirometry, body
      plethysmography and by the multiple breath nitrogen washout technique.
",Completed,NA,N/A,Interventional,Change of Lung Clearance Index (LCI),NA,2015-04-01,2016-02-01,2015-10-01,All,18 Years,N/A,1,24
32,NCT02507843,"Shanghai Pulmonary Hospital, Shanghai, China",Randomized,Vitamin D as an Adjunctive Treatment in Patients With Non-Cystic Fibrosis Bronchiectasis,"
      This study evaluates vitamin D as an adjunctive treatment in patients with non-Cystic
      Fibrosis bronchiectasis, which are combined with vitamin D deficiency. Half of participants
      will receive vitamin D supplementation, while the other half will receive placebo.
",Unknown status,JinFu Xu,Phase 4,Interventional,Time to first acute exacerbation,VIDB,2015-01-01,2017-06-01,2016-12-01,All,18 Years,N/A,2,200
33,NCT02531984,Assistance Publique Hopitaux De Marseille,Randomized,The Efficacy of Azithromycin in Treating Children With Non Cystic Fibrosis Bronchiectasis,"
      Bronchiectasis is characterized by a permanent and abnormal dilatation of a part of the
      bronchial tree. An accumulation of mucus in the respiratory tract ensues, resulting in
      frequent bacterial infections and eventual destruction of the lungs. Clinically, patients
      present with a chronic productive cough and episodes of acute respiratory exacerbations.
      Chronic respiratory failure can follow. Although its prevalence is largely unknown,
      bronchiectasis is considered to be a rare and orphan disease. There are numerous causes for
      this disease: sequelae of respiratory infections, immunodeficiency, genetic diseases like
      cystic fibrosis, primary ciliary dyskinesia….The focus of this study will be on non cystic
      fibrosis bronchiectasis in children.

      Due to a lack of pediatric clinical trials, the management of children with this disease is
      widely based on the management of adults or patients with cystic fibrosis or
      pan-bronchiolitis. The treatment is based on respiratory physiotherapy, prevention of
      infections, administration of inhaled corticosteroids and anti biotherapy for acute
      exacerbations.

      Recently, some studies have demonstrated the efficacy of a family of antibiotics, the
      macrolides, in the treatment of cystic fibrosis or pan-bronchiolitis in children. Indeed,
      taken 3 times a week during a long period of time, the macrolides, and specifically the
      azithromycin have shown some anti-inflammatory and tissue repairing properties, in addition
      to their antimicrobial properties.

      Moreover, several studies conducted in the adult population have shown that the use of
      azithromycin has led to significant reduction in the frequency of respiratory exacerbations
      as well as an improvement in the quality of life.

      The efficacy of azithromycin in these respiratory diseases has led to enlarge its use for the
      long term treatment of bronchiectasis. Yet, this type of treatment has no marketing
      authorization application.

      No studies have been conducted in children, but individual examination of patients with
      bronchiectasis treated with azithromycin suggests an improvement of their symptoms.

      Thus, the use of azithromycin in the treatment of bronchiectasis in children seems to be a
      promising therapy. However, its efficacy needs to be demonstrated by clinical trials led on a
      pediatric population with an adequate number of patients and a strong methodology in order to
      ensure validity and reliability of the results.

      Therefore the investigators decided to conduct a comparative, prospective multicenter
      randomized study in this population.

      This study intends to include 100 patients already treated by azithromycin for at least 6
      months. After inclusion, they will be randomized in two groups of 50 patients each. The first
      group will continue the treatment and the other one will discontinue it.

      The patients will be followed from the inclusion period (M0) until the onset of the first
      exacerbation for a maximum of 6 months (M6), with an intermediate health care visit after 3
      months (M3).

      In case of exacerbation, a health care visit will be scheduled; the patient will receive the
      appropriate treatment and he will be suspended from the study.

      The duration of follow up for each patient is dictated by the occurrence of the first
      respiratory exacerbation, a maximum of 6 months .The total inclusion period is 12 months and
      the total duration of the study is 18 months.
",Unknown status,Urielle DESALBRES,Phase 3,Interventional,Time of onset of the first respiratory exacerbation in the two groups of patients: those who continued treatment with azithromycin and those who stopped the treatment,AZI-STOP,2015-08-01,2018-08-01,2017-08-01,All,3 Years,17 Years,2,100
34,NCT02563197,Bayer,N/A,Inhalation Flow Rate-study,"
      Study should show feasibility of the device for drug delivery into the lung independently of
      the severity of impaired lung function.
",Completed,Bayer Study Director,Phase 1,Interventional,Peak inspiratory flow (L/min),NA,2015-11-23,2016-04-29,2016-02-17,All,18 Years,N/A,1,33
35,NCT02614300,Hospital Clinic of Barcelona,Randomized,The Role of Pulmonary Rehabilitation and Airways Clearance Techniques in the Multidisciplinary Management of Non CF Bronchiectasis,"
      Pulmonary rehabilitation programs are part of the multidisciplinary treatment of some chronic
      respiratory diseases such as COPD (chronic obstructive pulmonary disease). Although clinical
      guidelines of other diseases such as non-cystic fibrosis bronchiectasis (nCFBE) discuss the
      benefits of these programs in quality of life and exercise tolerance, evidence of such
      intervention in nCFBE patients is insufficient. Longer studies are needed with larger sample
      sizes and optimized to maximize the response and maintain long-term benefits. The present
      study aims to examine the effects in exercise tolerance of a pulmonary rehabilitation program
      combined with respiratory physiotherapy in patients with nCFBE. It is a randomized controlled
      clinical trial with a total duration of 24 months. The intervention will be performed during
      12 weeks and then will be a period of 12 months of maintenance. This is a multicenter study
      involving the following Hospitals: Hospital Clinic, Hospital la Plató and Hospital del Mar of
      Barcelona, Hospital Josep Trueta of Girona, Royal Infirmary of Edinburgh and Fondazione
      Maugeri di Lumezzane of Italy. Subjects will be randomized into three groups in a ratio (1:
      1: 1) (1) Pulmonary Rehabilitation (2) Chest Physiotherapy and (3) Pulmonary Rehabilitation +
      Chest Physiotherapy. Hospital la Plató from Barcelona will be responsible for carrying out
      the Control Group. The primary endpoint will be the test of ""endurance shuttle walk test"".
",Unknown status,NA,N/A,Interventional,Change from Baseline Exercise tolerance capacity measured as the distance walked in meters during the shuttle test at constant speed (ESWT) at 12 weeks.,NA,2015-11-01,NA,2017-12-01,All,50 Years,80 Years,4,120
36,NCT02625246,Marilyn Glassberg,Non-Randomized,Safety and Potential Efficacy of Human Mesenchymal Stem Cells in Non-Cystic Fibrosis Bronchiectasis,"
      To demonstrate the safety of bone marrow-derived allogeneic human Mesenchymal Stem Cells
      (hMSCs) in patients with bronchiectasis receiving standard of care therapy, and to explore
      treatment efficacy
",Completed,"Glassberg K Marilyn, MD",Phase 1,Interventional,Number of Participant with treatment emergent serious adverse events,CELEB,2016-02-04,2019-05-15,2019-05-15,All,30 Years,87 Years,2,6
