,id,measure,time_frame,description
29,NCT02035488,Actual dose (dose minus remainder in inhaler after inhalation) of tobramycin,one day,
30,NCT02035488,Area Under the plasma concentration versus time curve from 0 -12 hours (AUC0-12) of tobramycin •Area Under the plasma concentration versus time curve from 0 -12 hours (AUC0-12) of tobramycin,One day,
31,NCT02035488,Maximum plasma concentration (Cmax ) of tobramycin,One day,
32,NCT02035488,Time to maximum plasma concentration (Tmax) of tobramycin,One day,
33,NCT02035488,Absorption rate constant (Ka) of tobramycin,One day,
34,NCT02035488,Terminal elimination half-life (T1/2 el ) of tobramycin,One day,
35,NCT02035488,Clearance following pulmonary administration (CL/F) (F= bioavailability) of tobramycin,One day,
36,NCT02035488,Decrease of FEV1 in percentage measured by spirometry,One day,
37,NCT02035488,Number of Participants with Adverse Events,One day,
38,NCT02081963,Bacterial Clearance Rate of Sputum,after 14 days,"The bacterial eradication rate of the sputum was calculated by the number of P. aeruginosa-eradicated cases according to sputum culture testing result. Sputum samples were collected in the morning after toothbrushing and gargling, before the patients used any medicine. Eligible sputum samples were defined as having ≥25 white blood cells/highpower field and ≤10 epithelial cells/high-power field; the samples were sent for testing within 60 min. Sputum samples were collected again after 14 days. If the second sputum culture test showed a negative result after the first one had been positive, it was defined as eradicated."
39,NCT02088216,Median Number of Exacerbations,12 months,"An exacerbation of bronchiectasis is defined as either a change in one or more of the common symptoms of bronchiectasis (sputum volume or purulence, dyspnea, cough, and fatigue/malaise) or the onset of new symptoms (fever, pleurisy, haemoptysis or need for antibiotic treatment)."
40,NCT02096315,Sputum bacterial clearance,"Day 4, Day 5, Day 10, Day 15 and Day 20",Reduction in CFU/mL (colony forming units/mL) of Pseudomonas aeruginosa
41,NCT02104245,Time to first pulmonary exacerbation (from baseline),48 weeks,
42,NCT02106832,Time to First Exacerbation Event Within 48 Weeks - Cipro 28 vs. Pooled Placebo,Up to Week 48,Time to first exacerbation was defined as the time from randomization until the visit at which the first qualifying exacerbation is recorded by the investigator. Exacerbation events are defined as exacerbations with systemic antibiotic use and presence of fever or malaise / fatigue and worsening of at least three signs/symptoms.
43,NCT02106832,Time to First Exacerbation Event Within 48 Weeks - Cipro 14 vs. Pooled Placebo,Up to Week 48,Time to first exacerbation was defined as the time from randomization until the visit at which the first qualifying exacerbation is recorded by the investigator. Exacerbation events are defined as exacerbations with systemic antibiotic use and presence of fever or malaise / fatigue and worsening of at least three signs/symptoms.
44,NCT02163642,Change from baseline in sputum mucin levels at 12 months,Baseline and 12 months,Mucin levels in sputum will be determined with ELISA kits
45,NCT02324855,Cough severity (Auto-administered questionnaire: Leicester Cough Questionnaire),1 year,Auto-administered questionnaire: Leicester Cough Questionnaire
46,NCT02392663,Wet sputum production,1h wet sputum production (g),Sputum collected during nebulization period and physiotherapy session
47,NCT02411981,Change of Lung Clearance Index (LCI),up to 80 minutes,LCI will me measured before and after the chest physiotherapy session
48,NCT02507843,Time to first acute exacerbation,one year,
49,NCT02531984,Time of onset of the first respiratory exacerbation in the two groups of patients: those who continued treatment with azithromycin and those who stopped the treatment,6 months,"Exacerbations are defined by a combination of major and minor clinical criteria (Kapur et al, 2012) and the need for an antibiotic therapy for lower respiratory tract in case of acute infection. These criteria are evaluated by parents with the help of a daily diary; respiratory exacerbation is confirmed by a clinical examination."
50,NCT02563197,Peak inspiratory flow (L/min),Visit 2 (1-14 days after screening visit 1),
51,NCT02614300,Change from Baseline Exercise tolerance capacity measured as the distance walked in meters during the shuttle test at constant speed (ESWT) at 12 weeks.,At Screening and 12 weeks of intervention,
52,NCT02625246,Number of Participant with treatment emergent serious adverse events,Week 4 post infusion,"incidence of any treatment-emergent serious adverse events defined as the composite of death, non-fatal pulmonary embolism, stroke, hospitalization for worsening dyspnea and clinically significant laboratory test abnormalities"
53,NCT02657473,Number of exacerbations,13 months,
54,NCT02661438,The user performed the inhalation task based on the given instructions properly (Yes/No).,1 Day,The performance was assessed by a test administrator.
55,NCT02661438,The user performed the inhalation task safely (Yes/No).,1 Day,The user safety was assessed by a test administrator.
56,NCT02661438,DPI (Dry powder for inhalation) device malfunction (Yes/No).,1 Day,The function was assessed by a test administrator.
57,NCT02661438,Subject's subjective feedback (paraphrased) on use-safety and usability,1 Day,
58,NCT02712983,Change From Baseline to Day 29 in Pseudomonas Aeruginosa (P. Aeruginosa) Density in Sputum (log10 CFUs),"Baseline (Visit 101/Day 1), Visit 102 (Day 8), Visit 103 (Day 29)","Microbiological data was collected to understand the direct impact of the drug on the pathogens. Sputum samples were cultured for the presence of three Pseudomonas aeruginosa (P. aeruginosa) biotypes measured were mucoid, dry and small colony variant. Change was determined using the formula = (Post-baseline value - baseline value). If no P. aeruginosa was isolated for a visit, log10 colony forming units (CFU) was imputed with log10 (19) for all biotypes. Only values for all morphotypes presented."
59,NCT02782312,Quality of life,12 months,CAT score
60,NCT02782312,Quality of life,12 months,mMRC score
61,NCT02782312,Quality of life,12 months,SGRQ score
62,NCT02823587,Mucociliary transport in vivo,"Through study completion, an average of 2 years.","This measurement it will be evaluated by the saccharine transport time, according to methodology (Stanley, 1984)"
63,NCT02883101,Exercise capacity,8 weeks,Assessed using 6 minute walk distance and cardiopulmonary exercise testing
64,NCT03056326,Adverse events,"Part 1 from Day 1 to 5, Part 2 from Day 1 to 15",Treatment-related Adverse events
65,NCT03056326,Change in Vital signs,"Part 1 from Day 1 to 5, Part 2 from Day 1 to 15",Blood pressure
66,NCT03056326,Heart Rate,"Part 1 Day 1-2, Part 2 Day 1-2 and Day 14-15",Change in Heart Rate (from ECG)
67,NCT03056326,QTcF interval,"Part 1 Day 1-2, Part 2 Day 1-2 and Day 14-15",Change in QTcF interval (from ECG)
68,NCT03056326,PR interval,"Part 1 Day 1-2, Part 2 Day 1-2 and Day 14-15",Change in PR interval (from ECG)
69,NCT03056326,QRS interval,"Part 1 Day 1-2, Part 2 Day 1-2 and Day 14-15",Change in QRS interval (from ECG)
70,NCT03056326,Holter recording abnormalities,"Part 1 Day 1-2, Part 2 Day 1-2 and Day 14-15",24h-holter ECG recording
71,NCT03056326,FEV1,"Part 1 Day 1-2, Part 2 Day 1-14-15",Change in FEV1 (Forced exhalation volume in the first second)
72,NCT03056326,Clinical chemistry and haematology,"Part 1 Day 1-5, Part 2 Day 1-15",change in Clinical chemistry and haematology parameters
73,NCT03056326,Urinalysis,"Part 1 Day 1-5, Part 2 Day 1-15",Change in urinalysis parameters
74,NCT03093974,Annualized Pulmonary Exacerbation rate,12 months,Annual mean NCFB pulmonary exacerbation rate
75,NCT03147651,Oxygen Uptake (VO2),Measured continuously during 15 minutes of the exercise test (CPET).,Amount of oxygen consumed per amount of time.
76,NCT03218917,Time to first pulmonary exacerbation,24-week treatment period,Exacerbation is defined by signs and symptoms plus intervention with systemic antibiotics.
77,NCT03428334,sputum leukocyte density,Reduction of sputum leukocyte density in 4 weeks,"Sputum leukocyte density is measured within 2 hours of collection by a designated technician, based on five aliquots chosen randomly from the center of a fresh specimen, which are then serially diluted with phosphate-buffered saline (PBS) and read with a light microscope and a hemocytometer"
78,NCT03460704,Annualized Pulmonary Exacerbation rate,12 months,Annual mean NCFB pulmonary exacerbation rate.
79,NCT03818646,Airway volume,Days 0; 14; and 28,Change in image based airway volume from FRI
80,NCT03818646,Airway resistance,Days 0; 14; and 28,Change in image based airway resistance from FRI
81,NCT03818646,Lung volume,Days 0; 14; and 28,Change in image based lung volume from FRI
82,NCT03818646,Internal airflow distribution,Days 0; 14; and 28,Change in image based internal airflow distribution from FRI
83,NCT03818646,Airway wall thickness,Days 0;14; and 28,Change in image based airway wall thickness from FRI
84,NCT03818646,Blood vessel density,Days 0; 14; and 28,Change in image based blood vessel density from FRI
85,NCT03818646,Centreline evaluation (airway dimensions over distance into the lung).,Days 0; 14; and 28,Change in image based centreline evaluation (airway dimensions over distance into the lung) from FRI
86,NCT03988816,Quality of life questionnaire,12 weeks,To evaluate the impact of roflumilast on the quality of life of patients with bronchiectasis through the Saint George Respiratory Questionnaire (SGRQ).
87,NCT04010799,Adverse event,Part I: Baseline through end of treatment (up to a maximum of 30 days after last study drug intake) ; Part II Baseline through end of treatment (up to a maximum of 30 days after last study drug intake),Occurrence and severity of adverse events
88,NCT04010799,Change in Vital signs,Part I: Day 1 pre-dose up to 6 hours post dose. Part II: Day 1 and Day 7 pre dose up to 6 hours post dose,Change in Systolic and Diastolic blood pressure
89,NCT04010799,Heart Rate,Part I: Day 1 pre dose up to 8 hours post dose. Part II: Day 1 and Day 7 pre dose up to 12 hours post dose,Change in Heart Rate
90,NCT04010799,PR interval,Part I: Day 1 pre dose up to 8 hours post dose. Part II: Day 1 and Day 7 pre dose up to 12 hours post dose,Change in PR interval
91,NCT04010799,QRS interval,Part I: Day 1 pre dose up to 8 hours post dose. Part II: Day 1 and Day 7 pre dose up to 12 hours post dose,Change in QRS interval
92,NCT04010799,QTCf interval,Part I: Day 1 pre dose up to 8 hours post dose. Part II: Day 1 and Day 7 pre dose up to 12 hours post dose,Change in QTCf interval
93,NCT04010799,FEV1,Part I: Day 1 pre dose up to 6 hours post dose. Part II: Day 1 and Day 7 pre dose up to 6 hours post dose. Day 2 -6: pre dose up to 2 hours post dose,Change in FEV1
94,NCT04017312,Frequency of acute exacerbations of bronchiectasis,12 months,"Acute exacerbation periods will be defined as per the European Respiratory Society consensus definition:
A deterioration in three or more of the following key symptoms for at least 48 h:
Cough
Sputum volume and/or consistency
Sputum purulence
Breathlessness and/or exercise tolerance
Fatigue and/or malaise;
Hemoptysis AND
A clinician determines that a change in bronchiectasis treatment is required"
95,NCT04090294,Assessment of efficacy of Roflumlilast regarding control of patients with non cystic fibrosis bronchiectasis,3months . outcomes will be evaluated after 1month and at the end of the study (3months).,Assessment of efficacy of Roflumilast on severity of symptoms in patients with bronchiectasis. Frequency of Exacerbation in the three months assessment and need of hospitalization will be the main parameter for efficacy of the new treatment described as number/ 3 months
96,NCT04090294,Assessment of efficacy of roflumlilast in change of performance in patients with non cystic fibrosis bronchiectasis,3months . outcomes will be evaluated after 1month and at the end of the study (3months).,Assessment of efficacy of roflumilast on change dyspnea scale namely mMRCP evaluated at the start of the study and after 1 month and 3 months
97,NCT04090294,Assessment of efficacy of roflumlilast on change in Pulmonary function in patients with non cystic fibrosis bronchiectasis,3months . outcomes will be evaluated after 1month and at the end of the study (3months).,Assessment of efficacy of roflumilast on change in pulmonary function test in patients with bronchiectasis regarding : change in FEV1 by liter per second
98,NCT04090294,Assessment of efficacy of roflumlilast on change of symptoms in patients with non cystic fibrosis bronchiectasis,3months . outcomes will be evaluated after 1month and at the end of the study (3months).,Assessment of efficacy of roflumlilast on severity of symptoms in patients with bronchiactasis evaluated by bronchectasis severity index (FACED) score.
99,NCT04090294,Assessment of efficancy of roflumlilast on change in systemic inflammation in patients with non cystic fibrosis bronchiectasis,3months . outcomes will be evaluated after 1 month and at the end of the study (3 months).,Assessment of efficacy of roflumlilast on systemic inflammation in patients with bronchiectasis regarding CRP by mg per L
100,NCT04122547,acute deterioration of of bronchiectasis symptoms,6 months,acute dyspnea worsening respiratory of symptoms
101,NCT04170114,Forced Vital Capacity (FVC),8 Weeks,FVC will be measured using basic spirometry and expressed as the percentage of the predicted value according to the guideline of European Respiratory Society (ERS)
102,NCT04170114,Forced Expiratory Volume in 1 second (FEV1),8 Weeks,FEV1 will be measured using basic spirometry and expressed as the percentage of the predicted value according to the guideline of European Respiratory Society (ERS)
103,NCT04170114,Peak Expiratory Flow (PEF),8 Weeks,PEF will be measured using basic spirometry and expressed as the percentage of the predicted value according to the guideline of European Respiratory Society (ERS)
104,NCT04170114,Respiratory Muscle Strength - MIP,8 Weeks,Maximum Inspiratory Pressure (MIP) will be measured using MicroRPM portable manometer and the unit will be expressed in mmHg
105,NCT04170114,Respiratory Muscle Strength - MEP,8 Weeks,Maximum Expiratory Pressure (MEP) will be measured using MicroRPM portable manometer and the unit will be expressed in mmHg
106,NCT04170114,Six-minute walk test distance,8 Weeks,Distance walked in six minutes will be recorded in meters. Test will be conducted according to the guideline of American Thoracic Society (ATS)
107,NCT04170114,M. Quadriceps strength,8 Weeks,sometric M. Quadriceps strength (kg) will be measured using electronic hand held dynamometer in sitting position.
108,NCT04278040,Frequency of drug-related side effects.,6 months from the first inhalation,"The evaluation of side-effects, typical for the conventional therapeutic doses of melphalan (cough, bronchospasm, pulmonary fibrosis, interstitial pneumonitis; anorexia, gastrointestinal bleeding, ulcers of the stomach and duodenum, stomatitis, nausea, vomiting, esophagitis, diarrhea; myelodepression (leukopenia, thrombocytopenia, anemia), hemolytic anemia, bleeding and hemorrhage, vasculitis, veno-occlusive lesions, asystole; impaired urination, hematuria, hyperuricemia, nephropathy, edema, proteinuria, ovarian hypofunction, amenorrhea, azoospermia; anaphylaxis, anaphylactic shock, Quincke's edema, urticaria, skin rash, itching; dysfunction of the central nervous system, pain (back, side pain), the development of infections, fever, chills, alopecia, an increase in the concentration of 5-hydroxyindoleacetic acid, necrosis of the perivascular space, a feeling of heat and / or tingling at the injection site)"
109,NCT04322929,24-hour sputum volume,Reduction in 24-h sputum volume in 12 weeks,"Daily sputum volume is determined as the average of a three consecutive day collection (9:00 a.m. to 9:00 a.m.) at home, using clear pre-labeled sterile plastic (60 ml) pots stored at 4°C. Subjects are instructed and trained to completely empty the contents of their mouth before expectorating into the sputum pots to ensure minimal contamination by saliva and food debris. The volume of a 24-hour sputum specimen is determined as the volume of water (to the nearest 0.1 ml) in an adjacent identical pot containing water at the same level as the sputum in the sputum-containing pot."
110,NCT04509661,Actue exacerbation,One year,Times of acute exacerbation
111,NCT04538859,Number of bronchiectasis exacerbation,5 years,
112,NCT04594369,Rate of Adjudicated Pulmonary Exacerbations (PEs),52 Weeks,
113,NCT04643587,"Number of subjects with treatment emergent adverse events (TEAEs) - overall, severity and causality",Up to 8 days (healthy volunteers); Up to 21 days (NCFB patients),
114,NCT04643587,"Percent of subjects with TEAEs - overall, severity and causality",Up to 8 days (healthy volunteers); Up to 21 days (NCFB patients),
115,NCT04656275,Occurrence of drug-related adverse events,Up to week 13,
116,NCT04658277,number of infectious exacerbations,26 weeks,
117,NCT04884308,BCG Uptake,3 months,Change in concentration of IFNgamma levels in blood after BCG incubation relative to baseline.
118,NCT05006573,Annualised exacerbation rate,Over first 52 weeks,Annualised exacerbation rate
119,NCT05369624,"Exercise capacity of Non-cystic Fibrosis Bronchiectasis ( Non-CF bronchiectasis) after pulmonary rehabilitation home-based program (PRHP). Change in VO2 (oxygen consumption, ml/min)",Baseline and week 8,A measurement by cardiopulmonary exercise test (CPET) with oxygen consumption was performed at baseline and week 8 of the program.
