,id,agency,allocation,title,brief_summary,ie,status,PI,phase,study_type,primary_outcome_measure,acronym,start_date,completion_date,primary_completion_date,gender,minimum_age,maximum_age,number_of_arms,enrollment
10,NCT01313624,Gilead Sciences,Randomized,Safety and Effectiveness of AZLI (an Inhaled Antibiotic) in Adults With Non-Cystic Fibrosis Bronchiectasis,"
      The AIR-BX1 study enrolled people with non-cystic fibrosis (non-CF) bronchiectasis and
      gram-negative airway infection. Participants received two 28-day courses of either Aztreonam
      for Inhalation Solution (AZLI) or placebo taken 3 times a day. Each course was followed by a
      28-day off-drug period. Following the two blinded courses, all participants received a 28-day
      course of open-label AZLI then were followed for an additional 56 days.
    ","
        Inclusion Criteria:

          -  Male/Female 18 years or older with non-CF bronchiectasis

          -  Chronic sputum production on most days

          -  Positive sputum culture for gram-negative organisms

          -  Must have met lung function requirements

        Exclusion Criteria:

          -  History of CF

          -  Hospitalized within 14 days prior to joining the study

          -  Previous exposure to AZLI

          -  Pregnant, breastfeeding, or unwilling to follow contraceptive measures for the study

          -  Must have met liver and kidney function requirements

          -  Continuous oxygen use of greater than 2 liters per minute (supplemental oxygen with
             activity and at night was allowed)

          -  Treatment for nontuberculous mycobacteria infection or active mycobacterium
             tuberculosis infection within 1 year of enrollment

          -  Other serious medical conditions.
      ",Completed,"Alan Barker, MD",Phase 3,Interventional,Change in QOL-B Respiratory Symptoms Score at Day 28,AIR-BX1,April 2011,June 2013,March 2013,All,18 Years,N/A,2,266
11,NCT01314716,Gilead Sciences,Randomized,Safety and Effectiveness of AZLI (an Inhaled Antibiotic) in Adults With Non-Cystic Fibrosis Bronchiectasis,"
      The AIR-BX2 study enrolled people with non-cystic fibrosis (non-CF) bronchiectasis and
      gram-negative airway infection. Participants received two 28-day courses of either Aztreonam
      for Inhalation Solution (AZLI) or placebo taken 3 times a day. Each course was followed by a
      28-day off-drug period. Following the two blinded courses, all participants received a 28-day
      course of open-label AZLI then were followed for an additional 56 days.
    ","
        Inclusion Criteria:

          -  Male/Female 18 years or older with non-CF bronchiectasis

          -  Chronic sputum production on most days

          -  Positive sputum culture for gram-negative organisms

          -  Must have met lung function requirements

        Exclusion Criteria:

          -  History of CF

          -  Hospitalized within 14 days prior to joining the study

          -  Previous exposure to AZLI

          -  Pregnant, breastfeeding, or unwilling to follow contraceptive measures for the study

          -  Must have met liver and kidney function requirements

          -  Continuous oxygen use of greater than 2 liters per minute (supplemental oxygen with
             activity and at night was allowed)

          -  Treatment for nontuberculous mycobacteria infection or active mycobacterium
             tuberculosis infection within 1 year of enrollment

          -  Other serious medical conditions.
      ",Completed,"Anne O'Donnell, MD",Phase 3,Interventional,Change in QOL-B Respiratory Symptoms Score at Day 28,AIR-BX2,April 2011,July 2013,April 2013,All,18 Years,N/A,2,274
12,NCT01463371,Instituto de Investigacion Sanitaria La Fe,Randomized,Effects of Azithromycin on Airway Oxidative Stress Markers in Patients With Bronchiectasis,"
      The mechanism by which macrolide antibiotics have immune modifying effects independent from
      its antibacterial activity has not been well established. In the present work, the
      investigators will analyze the effect of long-term treatment with azithromycin (250 mg three
      times per week during three months) on airway oxidative stress markers in exhaled breath
      condensate of adult patients with stable non-CF bronchiectasis.
    ","
        Inclusion Criteria:

          -  Previous diagnosis of bronchiectasis based on lung HRCT and clinical symptoms

          -  Clinically stable in previous four weeks without exacerbations

          -  Informed consent

        Exclusion Criteria:

          -  Bronchiectasis secondary to Cystic fibrosis, pulmonary surgical processes, immune
             deficiency, emphysema, allergic bronchopulmonary aspergillosis or diffuse interstitial
             pulmonary diseases

          -  Intolerance to macrolides or severe liver disease.
      ",Completed,"Alfredo De Diego Damia, MD",N/A,Interventional,"Changes in Nitric oxide,8-isoprostane, pH, nitrites (NO2) and nitrates(NO3) in exhaled breath condensate.",,October 2006,September 2007,April 2007,All,16 Years,80 Years,2,30
13,NCT01515007,Aradigm Corporation,Randomized,Phase 3 Study With Ciprofloxacin Dispersion for Inhalation in Non-CF Bronchiectasis (ORBIT-3),"
      This study (ARD-3150-1201, ORBIT-3) will evaluate the safety and efficacy of inhaled
      Pulmaquin (ciprofloxacin dispersion for inhalation) compared to inhaled placebo in subjects
      who have a confirmed diagnosis of non-cystic fibrosis (non-CF) bronchiectasis with a history
      of pulmonary exacerbations and chronic P. aeruginosa infections.
    ","
        Inclusion Criteria:

          -  Verified bronchiectasis diagnosis

          -  Pseudomonas aeruginosa lung infection

        Exclusion Criteria:

          -  Cystic Fibrosis
      ",Completed,,Phase 3,Interventional,Time to first exacerbation,,"March 31, 2014",October 2016,"August 17, 2016",All,18 Years,N/A,2,278
14,NCT01684683,The First Affiliated Hospital of Guangzhou Medical University,Randomized,The Effect of Theophylline in the Treatment of Bronchiectasis,"
      Theophylline was well recommended in the treatment of chronic obstructive pulmonary disease
      (COPD) and asthma. However, there is no supporting evidence for their efficacy in the
      treatment of bronchiectasis. Our hypothesis is that theophylline will play a role in
      bronchiectasis. Our purpose is to examine the efficacy and safety of 24 weeks treatment with
      theophylline in subjects with non-cystic fibrosis bronchiectasis.
    ","
        Inclusion Criteria:

          -  Patients between 18-70 years old with non-CF bronchiectasis ,free from acute
             exacerbations for at least 3 months.Stable phase of the disease.

        Exclusion Criteria:

          -  Patients with a cigarette smoking history of more than 10 packs-year. Patients with
             COPD. Patients with traction bronchiectasis due to advanced fibrosis. Patients with
             known intolerance for theophylline. Patients with asthma. Patients with other disease
             disturbing outcomes of the trials. Patients without consent.
      ",Completed,,Phase 4,Interventional,Scores of the St.George's Respiratory Questionnaire,,November 2012,September 2014,April 2014,All,18 Years,70 Years,2,100
15,NCT01764841,Bayer,Randomized,Ciprofloxacin Dry Powder for Inhalation in Non-cystic Fibrosis Bronchiectasis (Non-CF BE),"
      The purpose of this study is to evaluate if the time to first pulmonary exacerbation of
      bronchiectasis or its frequency can be prolonged by inhalation of ciprofloxacin for 28 days
      every other 28 days or for 14 days every other 14 days over 48 weeks.
    ","
        Inclusion Criteria:

          -  Patients with a proven and documented diagnosis of non Cystic Fibrosis (CF) idiopathic
             or post infectious bronchiectasis

          -  Stable pulmonary status and stable regimen of standard treatment at least for the past
             4 weeks

        Exclusion Criteria:

          -  Forced expiratory volume in 1 second (FEV1) <30% or >90% predicted

          -  Active allergic bronchopulmonary aspergillosis

          -  Active and actively treated non tuberculosis mycobacterial (NTM) infection or
             tuberculosis

          -  Primary diagnosis of Chronic obstructive pulmonary disease (COPD)
      ",Completed,Bayer Study Director,Phase 3,Interventional,Time to First Exacerbation Event Within 48 Weeks,RESPIRE 1,"May 2, 2013","March 9, 2016","March 9, 2016",All,18 Years,N/A,4,416
16,NCT01792427,Universitaire Ziekenhuizen Leuven,,Mortality in Non-cystic Fibrosis Bronchiectasis,"
      In this study we analyzed the overall survival for all newly diagnosed patients with
      non-cystic fibrosis bronchiectasis from June 2006 onwards. The investigators wanted to
      confirm the known risk factors such as age, gender, smoking history and Pseudomonas
      aeruginosa and evaluate the impact on survival of etiology, number of different
      bacteriological species in retrospective and prospective sputa, azithromycin use and
      presence/development of pulmonary hypertension.
    ","
        Inclusion Criteria:

          -  Patients with clinically significant and radiologically proven bronchiectasis

          -  Chest CT scan confirming the presence of bronchiectatic lesions and had symptoms of
             chronic productive cough

          -  Bronchiectasis was deemed to be present if there was one or more of the following
             criteria: a bronchoarterial ratio greater than 1, lack of tapering of the bronchi and
             visualization of bronchi within 1 cm of costal or paravertebral pleura or abutting the
             mediastinal pleura

        Exclusion Criteria:

          -  diagnosis of cystic fibrosis

          -  underlying tumoral problem causing the bronchiectatic lesions (postradiotherapy,
             secondary immunodeficiency due to chemotherapy or postinfectious due to tumoral
             obstruction)

          -  patients with asymptomatic traction bronchiectasis caused by interstitial lung disease
      ",Completed,"Pieter Goeminne, MD",,Observational,overall survival,,June 2006,December 2012,October 2012,All,18 Years,N/A,,253
17,NCT01792440,Universitaire Ziekenhuizen Leuven,,The Sputum Colour Chart as a Predictor of Lung Inflammation and Proteolysis in Non-cystic Fibrosis Bronchiectasis,"
      Non-cystic fibrosis bronchiectasis patients (and controls) were recruited for the study. The
      investigators' aim was to study the relevance of clinical parameters in terms of underlying
      disease severity, proteolysis and inflammation in a diverse non-cystic fibrosis
      bronchiectasis population.
    ","
        Inclusion Criteria:

          -  Diagnosis of NCFB, based on CT findings of bronchiectatic disease in the absence of
             cystic fibrosis (CF) as a cause.

          -  stable

        Exclusion Criteria:

          -  no recent exacerbation
      ",Completed,"Pieter Goeminne, MD",,Observational,Assess predictive value of sputum colour chart to evaluate airway inflammation,,September 2009,December 2012,July 2010,All,18 Years,N/A,,80
18,NCT01801657,The First Affiliated Hospital of Guangzhou Medical University,,The Role of Viral Infection in Acute Exacerbations of Non-cystic Fibrosis Bronchiectasis in Adults,"
      Bronchiectasis is clinically characterized by irreversible dilation of the bronchi and
      bronchioles leading to persistent cough, purulent sputum, and airway ﬂow limitation, which
      may be accompanied by recurrent exacerbations.It has been increasingly recognized that
      respiratory viruses are mainly responsible for acute exacerbation of chronic pulmonary
      diseases, i.e. asthma, chronic obstructive pulmonary disease and cystic fibrosis.
      However,little is known about the roles of viral infection in driving exacerbations of
      bronchiectasis.This study aims to identify the frequency of common viral infections and
      determine the roles that viruses play in acute exacerbations of bronchiectasis.
    ","
        Inclusion Criteria:

          -  Age ≥ 18 years

          -  HRCT-diagnosed Bronchiectasis

          -  Capable of providing written informed consent

        Exclusion Criteria:

          -  Patient judged to have poor compliance

          -  Cystic fibrosis bronchiectasis
      ",Unknown status,,,Observational,The prevalence of respiratory virus infection in adults with bronchiectasis during a pulmonary exacerbation and when clinically stable.,,February 2013,April 2014,April 2014,All,18 Years,80 Years,,100
19,NCT01818544,Bayer,Randomized,Safety and Efficacy of Oral BAY85-8501 in Patients With Non-CF (Cystic Fibrosis) Bronchiectasis,"
      The primary objective of this study is to assess the safety and tolerability of 28 day oral
      administration of BAY85-8501 versus placebo in subjects with non-CF Bronchiectasis (BE).

      The secondary objectives are to examine the effect of BAY85-8501 on pulmonary function,
      biomarkers of inflammation and tissue damage, and the impact on overall health and perceived
      well-being and to evaluate the pharmacokinetics of BAY85-8501.
    ","
        Inclusion Criteria:

          -  Proven and documented diagnosis of non-CF (cystic fibrosis) idiopathic or
             post-infectious BE (bronchiectasis) by computed tomography (CT) scan [conventional
             high resolution CT is considered the standard], including 2 or more lobes and dilated
             airways compatible with BE at initial diagnosis

          -  Stable pulmonary status as indicated by the forced, expired volume in 1 second (FEV1)
             percent predicted ≥30% and <90% (post-bronchodilator)

          -  Stable (i.e., no dose change) regimen of standard BE treatment administered at least
             for 4 weeks prior to screening

          -  Cough on most days

        Exclusion Criteria:

          -  Forced, expired volume in 1 second <30% or ≥90% predicted (post-bronchodilator)

          -  Recent significant hemoptysis (≥300 mL or requiring blood transfusion) in the
             preceding 4 weeks before screening (and during the screening period)

          -  Known cystic fibrosis and/or documented chronic bronchial asthma

          -  Active allergic bronchopulmonary aspergillosis (ABPA)

          -  Diagnosis of common variable immunodeficiency (CVID)

          -  Systemic or inhaled antibiotic treatment within 4 weeks prior to screening

          -  Treatment of an exacerbation within 4 weeks prior to screening

          -  Systemic corticosteroids at >10 mg/day prednisolone equivalent for >2 weeks within 4
             weeks prior to screening
      ",Completed,Bayer Study Director,Phase 2,Interventional,,,April 2013,June 2014,June 2014,All,18 Years,N/A,2,94
20,NCT01854788,Hospital Clinic of Barcelona,Randomized,3 Airway Clearance Techniques in Non Cystic Fibrosis Bronchiectasis,"
      Study design: a randomized, crossover trial. Each patient performed three different airway
      clearance techniques (Autogenic drainage, slow expiratory with glottis opened in lateral
      posture [ELTGOL], temporary- positive expiratory pressure [T-PEP] with not similar autonomy
      degree in a randomized order. Each technique were applied in 3 sessions during one week at
      alternate days (Monday /Wednesday/Friday or Tuesday/Thursday/Saturday). The time spent in
      each bronchial session was 40 minutes. Seven days were the wash-out time period between the
      different techniques.
    ","
        Inclusion Criteria:

          1. - Non Cystic Fibrosis bronchiectasis diagnosed by High Resolution Computed Tomographic

          2. - Mean sputum production ≥ 15 ml /24h

          3. - Clinical stability in the last 6 weeks

          4. - Not carrying out regular chest physiotherapy

          5. - Forced expiratory volume in 1 second ≥ 30% pred. ; Forced Vital Capacity ≥ 45% pred.
             and peak expiratory flow >270 L/s

        Exclusion Criteria:

          1. - Smoker or non-smoker form less than 2 years

          2. - Cystic fibrosis

          3. - Active tuberculosis or sarcoidosis
      ",Completed,,N/A,Interventional,,,September 2010,August 2012,June 2012,All,18 Years,N/A,3,31
21,NCT01906047,Universitaire Ziekenhuizen Leuven,,Impact of Chronic Air Pollution on Non-cystic Fibrosis Bronchiectasis,"
      We aim at investigation the impact of chronic air pollution exposure on non-cystic fibrosis
      bronchiectasis outcome.
    ","
        Inclusion Criteria:

          -  HRCT diagnosis of bronchiectasis

          -  recurrent infections or chronic sputum production

          -  patients between 18 and 65 years old.

        Exclusion Criteria:

          -  Cystic Fibrosis

          -  Tumoral disease

          -  Traction bronchiectasis due to interstitial lung disease

          -  patients older than 65 years or younger than 18 years at recruitment

          -  COPD
      ",Completed,,,Observational [Patient Registry],Death,,June 2006,April 2013,October 2012,All,18 Years,65 Years,,189
